Nombre,Precio,Velocidad,Modulos,Latencia (ns),Tipo,Cantidad_total,Rank
G.Skill Trident Z5 RGB 48 GB,399.99,8400,"2,24",40.0,DDR5,48,1
TEAMGROUP T-Force Delta RGB 48 GB,279.99,8200,"2,24",38.0,DDR5,48,2
G.Skill Trident Z5 RGB 48 GB,279.99,8200,"2,24",40.0,DDR5,48,3
Patriot Viper Xtreme 5 48 GB,239.99,8200,"2,24",38.0,DDR5,48,4
Patriot Viper Xtreme 5 32 GB,174.99,8200,"2,16",38.0,DDR5,32,5
G.Skill Trident Z5 RGB 48 GB,249.99,8000,"2,24",40.0,DDR5,48,6
Patriot Viper Xtreme 5 RGB 48 GB,259.99,8000,"2,24",38.0,DDR5,48,7
G.Skill Trident Z5 RGB 48 GB,259.99,8000,"2,24",40.0,DDR5,48,8
GeIL EVO V RGB 32 GB,299.99,8000,"2,16",38.0,DDR5,32,9
G.Skill Trident Z5 RGB 32 GB,239.99,8000,"2,16",38.0,DDR5,32,10
GeIL EVO V RGB 32 GB,298.99,8000,"2,16",38.0,DDR5,32,11
OLOy Blade RGB 32 GB,223.99,8000,"2,16",36.0,DDR5,32,12
Patriot Viper Xtreme 5 RGB 32 GB,217.99,8000,"2,16",38.0,DDR5,32,13
TEAMGROUP T-Force Delta RGB 32 GB,191.79,8000,"2,16",38.0,DDR5,32,14
Patriot Viper Xtreme 5 RGB 32 GB,189.99,7800,"2,16",38.0,DDR5,32,15
TEAMGROUP T-Force Delta RGB 32 GB,179.99,7800,"2,16",38.0,DDR5,32,16
G.Skill Trident Z5 RGB 32 GB,189.99,7800,"2,16",36.0,DDR5,32,17
TEAMGROUP T-Force Delta RGB 32 GB,179.21,7800,"2,16",38.0,DDR5,32,18
OLOy Blade RGB 32 GB,174.99,7800,"2,16",36.0,DDR5,32,19
Corsair Vengeance RGB 48 GB,229.99,7600,"2,24",36.0,DDR5,48,20
G.Skill Trident Z5 RGB 48 GB,224.99,7600,"2,24",38.0,DDR5,48,21
G.Skill Trident Z5 RGB 48 GB,229.99,7600,"2,24",38.0,DDR5,48,22
Patriot Viper Xtreme 5 RGB 48 GB,229.99,7600,"2,24",36.0,DDR5,48,23
Patriot Viper Xtreme 5 48 GB,199.99,7600,"2,24",36.0,DDR5,48,24
G.Skill Trident Z5 RGB 32 GB,164.99,7600,"2,16",36.0,DDR5,32,25
Corsair Dominator Platinum RGB 32 GB,214.99,7600,"2,16",36.0,DDR5,32,26
TEAMGROUP T-Force Delta RGB 32 GB,159.99,7600,"2,16",36.0,DDR5,32,27
OLOy Blade RGB 32 GB,149.99,7600,"2,16",36.0,DDR5,32,28
Patriot Viper Xtreme 5 32 GB,137.99,7600,"2,16",36.0,DDR5,32,29
Patriot Viper Xtreme 5 RGB 32 GB,166.99,7600,"2,16",36.0,DDR5,32,30
Patriot Viper Venom 32 GB,129.99,7400,"2,16",36.0,DDR5,32,31
Patriot Viper Venom RGB 32 GB,154.99,7400,"2,16",40.0,DDR5,32,32
TEAMGROUP T-Force Delta RGB 48 GB,209.99,7200,"2,24",34.0,DDR5,48,33
Corsair Dominator Titanium First Edition 48 GB,289.99,7200,"2,24",36.0,DDR5,48,34
TEAMGROUP T-Create Expert 48 GB,189.99,7200,"2,24",34.0,DDR5,48,35
Corsair Dominator Titanium 48 GB,249.99,7200,"2,24",36.0,DDR5,48,36
TEAMGROUP T-Create Expert 48 GB,199.99,7200,"2,24",34.0,DDR5,48,37
G.Skill Trident Z5 RGB 48 GB,214.99,7200,"2,24",36.0,DDR5,48,38
G.Skill Trident Z5 RGB 48 GB,204.99,7200,"2,24",36.0,DDR5,48,39
Corsair Vengeance RGB 48 GB,209.99,7200,"2,24",36.0,DDR5,48,40
Corsair Dominator Titanium First Edition 32 GB,234.99,7200,"2,16",34.0,DDR5,32,41
G.Skill Trident Z5 RGB 32 GB,132.99,7200,"2,16",34.0,DDR5,32,42
Lexar Ares RGB 32 GB,144.79,7200,"2,16",34.0,DDR5,32,43
TEAMGROUP T-Create Expert 32 GB,129.99,7200,"2,16",34.0,DDR5,32,44
Corsair Dominator Titanium 32 GB,198.0,7200,"2,16",34.0,DDR5,32,45
Klevv CRAS XR5 RGB 32 GB,119.99,7200,"2,16",36.0,DDR5,32,46
Kingston FURY Renegade 32 GB,257.25,7200,"2,16",38.0,DDR5,32,47
Patriot Viper Venom RGB 32 GB,144.99,7200,"2,16",40.0,DDR5,32,48
ADATA XPG LANCER RGB 32 GB,162.99,7200,"2,16",34.0,DDR5,32,49
TEAMGROUP T-Force Delta RGB 32 GB,124.99,7200,"2,16",34.0,DDR5,32,50
Kingston Fury Renegade RGB 32 GB,224.99,7200,"2,16",38.0,DDR5,32,51
Corsair Dominator Platinum RGB 32 GB,194.99,7200,"2,16",34.0,DDR5,32,52
Corsair Vengeance 32 GB,159.99,7200,"2,16",34.0,DDR5,32,53
Kingston FURY Renegade 32 GB,245.76,7200,"2,16",38.0,DDR5,32,54
Patriot Viper Venom 32 GB,124.99,7200,"2,16",34.0,DDR5,32,55
Corsair Dominator Titanium 32 GB,199.99,7200,"2,16",34.0,DDR5,32,56
Corsair Vengeance RGB 32 GB,159.99,7200,"2,16",34.0,DDR5,32,57
Corsair Dominator Titanium 48 GB,239.99,7000,"2,24",36.0,DDR5,48,58
Corsair Vengeance RGB 48 GB,195.99,7000,"2,24",40.0,DDR5,48,59
Corsair Vengeance 48 GB,186.8,7000,"2,24",40.0,DDR5,48,60
Corsair Vengeance RGB 48 GB,199.99,7000,"2,24",36.0,DDR5,48,61
Patriot Viper Venom RGB 32 GB,139.99,7000,"2,16",40.0,DDR5,32,62
Corsair Vengeance 32 GB,142.99,7000,"2,16",40.0,DDR5,32,63
Corsair Dominator Titanium 32 GB,192.99,7000,"2,16",34.0,DDR5,32,64
Patriot Viper Venom 32 GB,119.99,7000,"2,16",32.0,DDR5,32,65
Corsair Vengeance RGB 32 GB,157.99,7000,"2,16",36.0,DDR5,32,66
Corsair Vengeance RGB 32 GB,129.99,7000,"2,16",36.0,DDR5,32,67
Patriot Viper Elite 5 RGB 32 GB,139.99,7000,"2,16",38.0,DDR5,32,68
TEAMGROUP T-Force Delta RGB 32 GB,124.99,7000,"2,16",34.0,DDR5,32,69
Corsair Vengeance 32 GB,159.99,7000,"2,16",34.0,DDR5,32,70
Corsair Vengeance RGB 32 GB,159.97,7000,"2,16",40.0,DDR5,32,71
Klevv CRAS XR5 RGB 32 GB,119.99,7000,"2,16",36.0,DDR5,32,72
Corsair Dominator Platinum RGB 32 GB,204.99,7000,"2,16",34.0,DDR5,32,73
Corsair Vengeance 64 GB,247.99,6800,"2,32",32.0,DDR5,64,74
G.Skill Trident Z5 RGB 64 GB,259.99,6800,"2,32",34.0,DDR5,64,75
Corsair Dominator Platinum RGB 64 GB,299.99,6800,"2,32",40.0,DDR5,64,76
G.Skill Ripjaws S5 64 GB,239.99,6800,"2,32",34.0,DDR5,64,77
G.Skill Ripjaws S5 48 GB,174.99,6800,"2,24",34.0,DDR5,48,78
TEAMGROUP T-Force Delta RGB 48 GB,359.99,6800,"2,24",36.0,DDR5,48,79
G.Skill Trident Z5 RGB 48 GB,184.99,6800,"2,24",34.0,DDR5,48,80
G.Skill Trident Z5 RGB 32 GB,124.99,6800,"2,16",34.0,DDR5,32,81
PROXMEM UNDERWORLD TUF 32 GB,99.99,6800,"2,16",34.0,DDR5,32,82
Mushkin Redline Lumina 32 GB,117.99,6800,"2,16",34.0,DDR5,32,83
Patriot Viper Venom RGB 32 GB,129.99,6800,"2,16",40.0,DDR5,32,84
Patriot Viper Venom 32 GB,118.99,6800,"2,16",34.0,DDR5,32,85
TEAMGROUP T-Force Delta RGB 32 GB,113.4,6800,"2,16",34.0,DDR5,32,86
Mushkin Redline ST 32 GB,105.98,6800,"2,16",34.0,DDR5,32,87
TEAMGROUP T-Force Delta RGB 32 GB,114.99,6800,"2,16",34.0,DDR5,32,88
Corsair Vengeance RGB 32 GB,149.99,6800,"2,16",40.0,DDR5,32,89
Kingston FURY Renegade 32 GB,184.99,6800,"2,16",36.0,DDR5,32,90
Mushkin Redline ST 32 GB,119.99,6800,"2,16",32.0,DDR5,32,91
G.Skill Ripjaws S5 32 GB,119.99,6800,"2,16",34.0,DDR5,32,92
Kingston Fury Renegade RGB 32 GB,239.99,6800,"2,16",36.0,DDR5,32,93
