Nombre,Precio,Numero_Nucleos,Frecuencia_Maxima,Calor_Max_Teorico,SMT,Ranking
Intel Core i9-14900KS,699.99,24,6.2,150,1,1
Intel Core i9-14900KF,534.99,24,6.0,125,1,2
Intel Core i9-14900K,534.99,24,6.0,125,1,3
Intel Core i9-13900KS,599.99,24,6.0,150,1,4
Intel Core i7-14700K,389.99,20,5.6,125,1,5
Intel Core i7-14700KF,379.0,20,5.6,125,1,6
Intel Core i9-13900KF,494.98,24,5.8,125,1,7
Intel Core i9-13900K,499.99,24,5.8,125,1,8
Intel Core i7-13700KF,334.99,16,5.4,125,1,9
Intel Core i7-13700K,354.99,16,5.4,125,1,10
Intel Core i9-13900F,516.99,24,5.6,65,1,11
Intel Core i9-13900,495.0,24,5.6,65,1,12
Intel Core i5-14600K,309.99,14,5.3,125,1,13
Intel Core i5-14600KF,279.99,14,5.3,125,1,14
Intel Core i5-13600K,284.99,14,5.1,125,1,15
Intel Core i5-13600KF,254.99,14,5.1,125,1,16
Intel Core i7-13700,371.99,16,5.2,65,1,17
Intel Core i7-13700F,344.99,16,5.2,65,1,18
AMD Ryzen 9 7950X3D,581.41,16,5.7,120,1,19
Intel Core i9-12900KS,359.0,16,5.5,150,1,20
AMD Ryzen 9 7900X3D,391.48,12,5.6,120,1,21
AMD Ryzen 7 7800X3D,357.0,8,5.0,120,1,22
Intel Core i9-12900KF,299.99,16,5.2,125,1,23
Intel Core i9-12900K,314.99,16,5.2,125,1,24
AMD Ryzen 9 7900X,383.92,12,5.6,170,1,25
Intel Core i5-14500,230.63,14,5.0,65,1,26
Intel Core i7-12700K,224.99,12,5.0,125,1,27
Intel Core i7-12700KF,199.99,12,5.0,125,1,28
AMD Ryzen 9 7950X,549.99,16,5.7,170,1,29
Intel Core i9-12900F,432.99,16,5.1,65,1,30
Intel Core i5-13500,244.85,14,4.8,65,1,31
AMD Ryzen 7 7700X,289.64,8,5.4,105,1,32
Intel Core i9-12900,458.0,16,5.1,65,1,33
AMD Ryzen 5 7600X,209.95,6,5.3,105,1,34
AMD Ryzen 9 7900,368.98,12,5.4,65,1,35
Intel Core i5-12600KF,149.99,10,4.9,125,1,36
Intel Core i5-12600K,169.99,10,4.9,125,1,37
AMD Ryzen 7 7700,260.0,8,5.3,65,1,38
Intel Core i7-12700F,250.0,12,4.9,65,1,39
Intel Core i7-12700,265.49,12,4.9,65,1,40
Intel Core i5-14400F,209.99,10,4.7,65,1,41
AMD Ryzen 5 7600,189.99,6,5.1,65,1,42
Intel Core i5-13400,228.99,10,4.6,65,1,43
Intel Core i5-13400F,185.99,10,4.6,65,1,44
AMD Ryzen 7 5800X3D,309.0,8,4.5,105,1,45
Intel Core i9-11900KF,240.0,8,5.3,125,1,46
Intel Core i9-11900K,265.0,8,5.3,125,1,47
Intel Core i5-12600,247.39,6,4.8,65,1,48
Intel Core i7-11700KF,249.0,8,5.0,125,1,49
Intel Core i7-11700K,240.95,8,5.0,125,1,50
AMD Ryzen 9 5950X,375.25,16,4.9,105,1,51
Intel Core i9-11900F,242.99,8,5.2,65,1,52
Intel Core i9-11900,270.0,8,5.2,65,1,53
Intel Core i9-10900KF,274.0,10,5.3,125,1,54
Intel Core i5-11600K,194.0,6,4.9,125,1,55
Intel Core i5-12500,195.99,6,4.6,65,1,56
Intel Core i5-11600KF,162.29,6,4.9,125,1,57
AMD Ryzen 9 5900X,278.99,12,4.8,105,1,58
Intel Core i9-10850K,286.0,10,5.2,125,1,59
Intel Core i7-11700F,204.99,8,4.9,65,1,60
Intel Core i5-12400,152.69,6,4.4,65,1,61
Intel Core i7-11700,217.99,8,4.9,65,1,62
AMD Ryzen 7 5800X,200.21,8,4.7,105,1,63
Intel Core i5-12400F,136.0,6,4.4,65,1,64
AMD Ryzen 7 5700X3D,247.0,8,4.1,105,1,65
Intel Core i5-11600,150.0,6,4.8,65,1,66
Intel Core i3-14100F,119.99,4,4.7,58,1,67
Intel Core i3-13100,146.79,4,4.5,60,1,68
Intel Core i7-10700KF,240.0,8,5.1,125,1,69
Intel Core i5-11500,158.14,6,4.6,65,1,70
Intel Core i3-13100F,119.99,4,4.5,58,1,71
AMD Ryzen 7 5700X,163.0,8,4.6,65,1,72
AMD Ryzen 5 5600X,144.0,6,4.6,65,1,73
Intel Core i9-10900F,236.69,10,5.2,65,1,74
AMD Ryzen 7 8700G,329.0,8,5.1,65,1,75
Intel Core i5-11400,136.75,6,4.4,65,1,76
Intel Core i5-11400F,108.0,6,4.4,65,1,77
Intel Core i3-12100F,94.98,4,4.3,58,1,78
Intel Core i9-10900,283.99,10,5.2,65,1,79
Intel Core i3-12100,118.83,4,4.3,60,1,80
Intel Core i7-10700F,225.95,8,4.8,65,1,81
AMD Ryzen 5 5600,134.99,6,4.4,65,1,82
AMD Ryzen 5 8600G,228.99,6,5.0,65,1,83
Intel Core i5-10600KF,124.0,6,4.8,125,1,84
Intel Core i3-10320,131.82,4,4.6,65,1,85
AMD Ryzen 9 3900XT,450.0,12,4.7,105,1,86
AMD Ryzen 7 3800XT,402.58,8,4.7,105,1,87
AMD Ryzen 7 5700G,169.21,8,4.6,65,1,88
AMD Ryzen 5 5500,88.99,6,4.2,65,1,89
AMD Ryzen 5 5600G,119.0,6,4.4,65,1,90
Intel Core i3-10105F,81.16,4,4.4,65,1,91
Intel Core i3-10100F,68.95,4,4.3,65,1,92
AMD Ryzen 5 4600G,90.0,6,4.2,65,1,93
AMD Ryzen 5 4500,78.0,6,4.1,65,1,94
AMD Ryzen 3 4100,68.98,4,4.0,65,1,95
