Nombre,Precio,Zocalo,Forma_Factor,Memoria_Max,Ranuras_Memoria
MSI B650 GAMING PLUS WIFI,159.0,AM5,0,192,4
Asus ROG STRIX B650-A GAMING WIFI,259.99,AM5,0,192,4
MSI B760 GAMING PLUS WIFI,159.0,LGA1700,0,192,4
MSI B550 GAMING GEN3,99.0,AM4,0,128,4
MSI PRO Z790-A MAX WIFI,256.0,LGA1700,0,192,4
Gigabyte B650 GAMING X AX,189.99,AM5,0,192,4
MSI MAG B650 TOMAHAWK WIFI,199.0,AM5,0,192,4
Gigabyte B550M K,84.99,AM4,2,128,4
MSI B450M-A PRO MAX II,69.0,AM4,2,64,2
ASRock B650M Pro RS WiFi,149.99,AM5,2,192,4
ASRock B660M Pro RS,94.99,LGA1700,2,128,4
MSI PRO B650M-A WIFI,144.0,AM5,2,192,4
Asus ROG STRIX B550-F GAMING WIFI II,159.99,AM4,0,128,4
Asus PRIME B550M-A WIFI II,124.99,AM4,2,128,4
MSI MAG B550 TOMAHAWK MAX WIFI,169.0,AM4,0,128,4
Gigabyte B650 AORUS ELITE AX,219.99,AM5,0,192,4
MSI PRO B650M-P,119.0,AM5,2,192,4
MSI MAG X670E TOMAHAWK WIFI,279.0,AM5,0,192,4
Asus ROG MAXIMUS Z790 DARK HERO,649.99,LGA1700,0,192,4
Gigabyte Z790 AORUS ELITE AX,229.99,LGA1700,0,192,4
Asus ROG STRIX B650E-F GAMING WIFI,259.99,AM5,0,192,4
MSI PRO B550M-VC WIFI,109.0,AM4,2,128,4
MSI PRO Z790-P WIFI,189.99,LGA1700,0,192,4
Gigabyte B650 AORUS ELITE AX ICE,219.99,AM5,0,192,4
MSI MAG Z790 TOMAHAWK WIFI,219.0,LGA1700,0,192,4
ASRock B650M Pro RS,134.99,AM5,2,192,4
Asus ROG ZENITH II EXTREME ALPHA,2059.0,sTRX4,1,256,8
Asus ROG STRIX Z790-A GAMING WIFI II,359.99,LGA1700,0,192,4
MSI B550-A PRO,109.99,AM4,0,128,4
MSI PRO B760-P WIFI DDR4,159.0,LGA1700,0,128,4
Gigabyte X670E AORUS PRO X,329.99,AM5,0,192,4
Asus TUF GAMING B550-PLUS WIFI II,155.0,AM4,0,128,4
Asus Prime B450M-A II,71.98,AM4,2,128,4
Asus TUF GAMING B650-PLUS WIFI,194.99,AM5,0,128,4
ASRock B650I Lightning Wifi,199.99,AM5,4,96,2
MSI B550M PRO-VDH WIFI,104.99,AM4,2,128,4
Asus ROG STRIX Z790-E GAMING WIFI II,479.99,LGA1700,0,192,4
Gigabyte B650 EAGLE AX,159.99,AM5,0,192,4
MSI PRO B650-S WIFI,159.99,AM5,0,192,4
MSI PRO H610M-G DDR4,89.0,LGA1700,2,64,2
Asus ROG STRIX B760-I GAMING WIFI,210.99,LGA1700,4,96,2
Asus TUF GAMING Z790-PRO WIFI,279.99,LGA1700,0,192,4
MSI PRO A620M-E,74.0,AM5,2,96,2
Gigabyte B550M DS3H AC,89.99,AM4,2,128,4
ASRock A520M-HDV,67.98,AM4,2,64,2
ASRock B550M Pro4,99.99,AM4,2,128,4
MSI B450M PRO-VDH MAX,74.0,AM4,2,64,4
Asus PRIME B760-PLUS,99.99,LGA1700,0,192,4
Asus ROG STRIX B650E-I GAMING WIFI,311.99,AM5,4,96,2
ASRock B760M-HDV/M.2,97.98,LGA1700,2,96,2
Gigabyte A520I AC,99.99,AM4,4,64,2
Asus TUF GAMING A520M-PLUS WIFI,89.99,AM4,2,128,4
Gigabyte B550 UD AC,99.49,AM4,0,128,4
Gigabyte B650I AORUS ULTRA,249.99,AM5,4,96,2
Asus ROG STRIX B550-A GAMING,169.0,AM4,0,128,4
Gigabyte B550M AORUS ELITE AX,109.99,AM4,2,128,4
MSI PRO B650-P WIFI,195.0,AM5,0,192,4
Asus TUF GAMING X670E-PLUS WIFI,280.99,AM5,0,192,4
Gigabyte B650M AORUS ELITE AX,189.99,AM5,2,192,4
ASRock A620M Pro RS WiFi,126.99,AM5,2,192,4
Asus TUF GAMING Z790-PLUS WIFI,206.69,LGA1700,0,192,4
NZXT N7 B650E,305.99,AM5,0,128,4
Gigabyte B650M D3HP,109.99,AM5,2,192,4
Asus ROG STRIX Z690-E GAMING WIFI,219.99,LGA1700,0,192,4
Asus TUF GAMING X570-PLUS (WI-FI),192.99,AM4,0,128,4
MSI MPG B550 GAMING PLUS,156.0,AM4,0,128,4
ASRock B650M-HDV/M.2,119.99,AM5,2,96,2
Asus ROG STRIX X670E-E GAMING WIFI,447.99,AM5,0,192,4
Gigabyte B760M DS3H AX,139.99,LGA1700,2,192,4
ASRock Z690M-ITX/ax,134.99,LGA1700,4,64,2
Gigabyte B760M DS3H DDR4,99.99,LGA1700,2,128,4
Gigabyte B450M K,74.38,AM4,2,64,2
Gigabyte B550 AORUS ELITE AX V2,129.99,AM4,0,128,4
MSI MAG B550 TOMAHAWK,144.0,AM4,0,128,4
Gigabyte B450M DS3H WIFI,88.0,AM4,2,128,4
Gigabyte B650 GAMING X AX V2,189.99,AM5,0,192,4
MSI PRO B760M-P DDR4,89.99,LGA1700,2,128,4
Gigabyte Z790 AORUS ELITE X WIFI7,279.99,LGA1700,0,192,4
ASRock B450M/ac R2.0,78.58,AM4,2,128,4
Gigabyte A620I AX,129.99,AM5,4,96,2
Gigabyte H410M H V2,72.98,LGA1200,2,64,2
Gigabyte Z790 AORUS PRO X,329.99,LGA1700,0,192,4
MSI PRO Z690-A WIFI,149.0,LGA1700,0,192,4
Asus ROG STRIX Z790-E GAMING WIFI,359.82,LGA1700,0,192,4
Gigabyte B760I AORUS PRO,199.99,LGA1700,4,96,2
MSI MPG B650I EDGE WIFI,261.0,AM5,4,96,2
ASRock B760M-H/M.2,89.99,LGA1700,2,96,2
MSI MAG B760 TOMAHAWK WIFI,179.0,LGA1700,0,192,4
Asus ROG CROSSHAIR X670E HERO,644.19,AM5,0,192,4
Gigabyte X670 AORUS ELITE AX (rev. 1.0),249.99,AM5,0,192,4
MSI MEG Z790 GODLIKE MAX,1198.0,LGA1700,1,192,4
ASRock A620I LIGHTNING WIFI,139.99,AM5,4,96,2
Asus ROG MAXIMUS Z790 FORMULA,724.0,LGA1700,0,192,4
MSI X670E GAMING PLUS WIFI,229.0,AM5,0,192,4
ASRock B550M-ITX/ac,129.99,AM4,4,64,2
Gigabyte B550I AORUS PRO AX,189.99,AM4,4,64,2
Gigabyte B550 GAMING X V2,108.0,AM4,0,128,4
NZXT N7 B650E,306.2,AM5,0,128,4
MSI B450 Gaming Plus MAX,99.0,AM4,0,128,4
ASRock B760 Pro RS/D4,129.99,LGA1700,0,128,4
Gigabyte B550M DS3H,123.53,AM4,2,128,4
Asus ROG STRIX B760-A GAMING WIFI,209.99,LGA1700,0,192,4
ASRock X670E Steel Legend,365.77,AM5,0,192,4
Gigabyte B650 AORUS ELITE AX V2,199.99,AM5,0,192,4
Gigabyte X670 GAMING X AX V2,209.99,AM5,0,192,4
Asus ROG STRIX B550-F GAMING,159.99,AM4,0,128,4
MSI B450 TOMAHAWK MAX,199.99,AM4,0,128,4
ASRock H610M-HVS,69.98,LGA1700,2,64,2
Gigabyte B760 GAMING X AX,159.99,LGA1700,0,192,4
MSI PRO B760M-A WIFI DDR4,149.0,LGA1700,2,128,4
MSI PRO H610M-G WIFI DDR4,99.0,LGA1700,2,64,2
Gigabyte B760M C,119.03,LGA1700,2,192,4
Asus TUF GAMING B650M-PLUS WIFI,215.99,AM5,2,192,4
Asus PRIME B650-PLUS,191.99,AM5,0,192,4
Gigabyte Z790 GAMING X AX,219.99,LGA1700,0,192,4
Gigabyte A520M DS3H V2,90.5,AM4,2,128,4
ASRock B550 Phantom Gaming 4/ac,89.99,AM4,0,128,4
Asus PRIME Z790-V WIFI,239.99,LGA1700,0,192,4
Asus ProArt X670E-CREATOR WIFI,439.99,AM5,0,192,4
ASRock B650E PG RIPTIDE WIFI,189.75,AM5,0,192,4
Asus PRIME Z790-P WIFI,226.58,LGA1700,0,192,4
MSI A520M-A PRO,69.0,AM4,2,64,2
Asus ROG STRIX X670E-F GAMING WIFI,349.99,AM5,0,192,4
Gigabyte A520M K V2,72.15,AM4,2,64,2
MSI PRO Z790-S WIFI,169.0,LGA1700,0,192,4
Gigabyte Z790 AORUS ELITE X AX,250.47,LGA1700,0,192,4
Asus ROG STRIX B650E-E GAMING WIFI,334.99,AM5,0,192,4
MSI MPG Z690 EDGE WIFI DDR4,209.99,LGA1700,0,128,4
ASRock B550M PG RIPTIDE,111.98,AM4,2,128,4
Gigabyte Z790 AORUS ELITE AX ICE,239.99,LGA1700,0,192,4
Asus PRIME Z790-A WIFI,280.98,LGA1700,0,192,4
Asus ROG STRIX Z790-H GAMING WIFI,249.99,LGA1700,0,192,4
NZXT N7 Z790,296.99,LGA1700,0,192,4
ASRock B650M PG RIPTIDE WIFI,169.99,AM5,2,192,4
Asus PRIME B550-PLUS,109.99,AM4,0,128,4
Asus ROG STRIX Z690-I GAMING WIFI,199.99,LGA1700,4,96,2
Asus ROG STRIX B450-F GAMING II,299.99,AM4,0,128,4
Asus ROG STRIX X670E-A GAMING WIFI,369.99,AM5,0,192,4
Asus PRIME A320M-K,71.95,AM4,2,32,2
MSI MPG B650 EDGE WIFI,229.0,AM5,0,192,4
MSI MEG X670E GODLIKE,1265.0,AM5,1,192,4
Asus TUF GAMING B550M-PLUS WIFI II,204.8,AM4,2,128,4
ASRock Z690 Extreme,129.99,LGA1700,0,128,4
MSI B760M GAMING PLUS WIFI,194.15,LGA1700,2,192,4
Asus ROG STRIX X670E-I GAMING WIFI,424.99,AM5,4,96,2
MSI PRO-H610M-E-DDR4,93.34,LGA1700,2,64,2
Asus PRIME X670E-PRO WIFI,289.99,AM5,0,192,4
ASRock B550 Phantom Gaming-ITX/ax,159.99,AM4,4,64,2
ASRock B650M-H/M.2+,99.99,AM5,2,96,2
MSI MAG B650M MORTAR WIFI,187.17,AM5,2,192,4
MSI PRO Z690-A WIFI DDR4,179.0,LGA1700,0,128,4
MSI MAG Z790 TOMAHAWK MAX WIFI,279.0,LGA1700,0,192,4
Intel DQ45EK,225.0,LGA775,4,4,2
Asus ProArt Z790-CREATOR WIFI,439.99,LGA1700,0,192,4
MSI MAG Z690 TOMAHAWK WIFI DDR4,334.99,LGA1700,0,128,4
Asus TUF GAMING A620M-PLUS WIFI,146.99,AM5,2,192,4
MSI MPG X670E CARBON WIFI,392.0,AM5,0,192,4
Gigabyte B650M DS3H,200.8,AM5,2,192,4
Asus ROG STRIX Z790-F GAMING WIFI II,399.99,LGA1700,0,192,4
MSI MPG Z790 EDGE TI MAX WIFI,359.0,LGA1700,0,192,4
ASRock Z690 PG Velocita,149.99,LGA1700,0,192,4
Asus PRIME B550-PLUS AC-HES,109.99,AM4,0,128,4
ASRock B450M-HDV R4.0,59.99,AM4,2,32,2
Asus PRIME B660M-A WIFI D4,174.27,LGA1700,2,128,4
Gigabyte A620M S2H,79.98,AM5,2,96,2
MSI MPG Z790I EDGE WIFI,295.0,LGA1700,4,96,2
MSI B450M-A PRO MAX,95.52,AM4,2,32,2
ASRock B760M Pro RS/D4 WiFi,148.99,LGA1700,2,128,4
Asus ROG STRIX Z790-A GAMING WIFI D4,267.61,LGA1700,0,128,4
MSI PRO B550-VC,139.99,AM4,0,128,4
Asus ROG MAXIMUS Z790 HERO,529.99,LGA1700,0,192,4
Asus PRIME X670-P,194.99,AM5,0,192,4
MSI MAG B760 TOMAHAWK WIFI DDR4,169.0,LGA1700,0,128,4
ASRock X670E PG Lightning,209.99,AM5,0,192,4
ASRock B550M-HDV,74.98,AM4,2,64,2
ASRock B760M-HDV/M.2 D4,89.99,LGA1700,2,64,2
ASRock B650 LiveMixer,149.99,AM5,0,192,4
ASRock B550M Steel Legend,123.99,AM4,2,128,4
Gigabyte A520M S2H,84.99,AM4,2,64,2
Asus PRIME H610M-A WIFI D4,159.5,LGA1700,2,64,2
ASRock B650 PG LIGHTNING,199.99,AM5,0,192,4
Asus PRIME X670-P WIFI,199.99,AM5,0,192,4
MSI PRO X670-P WIFI,199.99,AM5,0,192,4
Gigabyte B550M AORUS ELITE,133.59,AM4,2,128,4
ASRock H370M-HDV,74.98,LGA1151,2,64,2
ASRock B450M Pro4,98.99,AM4,2,128,4
ASRock B550 Pro4,109.99,AM4,0,128,4
ASRock B450M/AC,80.59,AM4,2,64,4
Gigabyte B650E AORUS ELITE X AX ICE,249.99,AM5,0,192,4
Asus ROG Crosshair VIII Dark Hero,519.0,AM4,0,128,4
MSI Z390-A PRO,239.99,LGA1151,0,128,4
Gigabyte H510M K V2,86.13,LGA1200,2,64,2
ASRock Fatal1ty B450 Gaming-ITX/ac,145.97,AM4,4,64,2
MSI PRO Z790-P WIFI DDR4,189.99,LGA1700,0,128,4
MSI MPG B650 CARBON WIFI,329.99,AM5,0,192,4
Asus ROG STRIX Z790-I GAMING WIFI,439.99,LGA1700,4,96,2
Gigabyte B760M AORUS ELITE AX,169.99,LGA1700,2,192,4
Gigabyte B550 AORUS ELITE V2,154.63,AM4,0,128,4
MSI MPG Z790 EDGE WIFI,309.0,LGA1700,0,192,4
MSI PRO Z790-A WIFI,219.99,LGA1700,0,192,4
ASRock B450M Steel Legend,108.47,AM4,2,64,4
Gigabyte B650M K,119.99,AM5,2,192,4
ASRock B760M Steel Legend WiFi,193.45,LGA1700,2,192,4
ASRock Z690 PG Riptide,124.99,LGA1700,0,128,4
MSI MAG B760M MORTAR WIFI II,199.0,LGA1700,2,192,4
Gigabyte H610M S2H V2 DDR4,89.99,LGA1700,2,64,2
MSI Z790 GAMING PLUS WIFI,219.0,LGA1700,0,192,4
Gigabyte X670E AORUS MASTER (rev. 1.0),469.99,AM5,1,192,4
Gigabyte TRX40 AORUS PRO WIFI,529.99,sTRX4,0,256,8
ASRock Z790 Nova WiFi,329.99,LGA1700,0,192,4
MSI Z790 GAMING PRO WIFI,189.0,LGA1700,0,192,4
ASRock Z690 Pro RS,119.99,LGA1700,0,128,4
ASRock A520M-HVS,72.37,AM4,2,64,2
MSI PRO B650M-B,135.83,AM5,2,96,2
Gigabyte X670E AORUS XTREME (rev. 1.0),689.99,AM5,1,192,4
Gigabyte H610I,109.99,LGA1700,4,64,2
Asus TUF GAMING Z790-PLUS WIFI D4,199.99,LGA1700,0,128,4
Asus PRIME B660-PLUS D4,179.72,LGA1700,0,128,4
Gigabyte Z790 D AC,179.99,LGA1700,0,192,4
Gigabyte B760 AORUS ELITE AX,169.99,LGA1700,0,192,4
Gigabyte B450M DS3H,110.87,AM4,2,128,4
Gigabyte B650M GAMING X AX,230.85,AM5,2,192,4
Asus PRIME H510M-A WIFI,134.93,LGA1200,2,64,2
MSI MPG B760I EDGE WIFI,206.0,LGA1700,4,96,2
Gigabyte TRX40 AORUS XTREME,1859.0,sTRX4,8,256,8
Gigabyte B650M D3HP AX,134.99,AM5,2,192,4
MSI MPG Z790 CARBON WIFI,389.0,LGA1700,0,192,4
Asus PRIME Z390-P,199.99,LGA1151,0,128,4
ASRock Z790 Riptide WiFi,229.99,LGA1700,0,192,4
Asus TUF GAMING B760-PLUS WIFI,199.99,LGA1700,0,192,4
Asus TUF GAMING B760M-PLUS WIFI,189.99,LGA1700,2,192,4
Asus ROG MAXIMUS Z790 APEX ENCORE,649.99,LGA1700,0,96,2
Asus ROG STRIX Z790-F GAMING WIFI,299.99,LGA1700,0,192,4
ASRock X670E Taichi Carrara,429.99,AM5,1,192,4
Asus PRIME B650M-A WIFI II,221.68,AM5,2,192,4
MSI MEG X670E ACE,681.0,AM5,1,192,4
ASRock B760M PG Riptide,129.99,LGA1700,2,192,4
ASRock B650E STEEL LEGEND WIFI,199.99,AM5,0,192,4
Asus PRIME H510M-K,130.77,LGA1200,2,64,2
Asus TUF GAMING B650-PLUS,263.21,AM5,0,128,4
Asus ROG STRIX Z690-A GAMING WIFI D4,383.46,LGA1700,0,128,4
ASRock B550 Phantom Gaming 4,89.99,AM4,0,128,4
Asus TUF GAMING Z690-PLUS WIFI,214.98,LGA1700,0,192,4
ASRock A520M-ITX/ac,102.0,AM4,4,64,2
Gigabyte Z790 UD AC,179.99,LGA1700,0,192,4
Asus TUF GAMING B760M-PLUS WIFI D4,250.17,LGA1700,2,128,4
ASRock X570 Phantom Gaming-ITX/TB3,259.99,AM4,4,64,2
Asus PRIME B450M-K II,106.56,AM4,2,64,2
ASRock B660M-HDV,93.83,LGA1700,2,64,2
Asus PRIME B760M-A WIFI D4,189.69,LGA1700,2,128,4
MSI Z490-A PRO,328.88,LGA1200,0,128,4
Asus PRIME Z790M-PLUS,196.99,LGA1700,2,192,4
Gigabyte B450 AORUS ELITE V2,127.5,AM4,0,128,4
Asus PRIME Z390-A,327.16,LGA1151,0,128,4
Gigabyte Z790 AORUS MASTER X,499.99,LGA1700,1,192,4
MSI PRO B760M-A WIFI,169.0,LGA1700,2,192,4
MSI MAG B550M MORTAR MAX WIFI,139.0,AM4,2,128,4
Gigabyte Z390 AORUS PRO WIFI,299.08,LGA1151,0,128,4
Asus ROG STRIX Z590-E GAMING WIFI,319.99,LGA1200,0,128,4
ASRock B760M PG SONIC WiFi,149.99,LGA1700,2,192,4
ASRock Z790M-ITX WIFI,229.99,LGA1700,4,96,2
ASRock X670E Taichi,409.99,AM5,1,192,4
MSI PRO B550M-P GEN3,115.99,AM4,2,128,4
Gigabyte A620M GAMING X,119.99,AM5,2,192,4
Asus TUF GAMING B450-PLUS II,119.99,AM4,0,128,4
Gigabyte B760M D3H,149.99,LGA1700,2,192,4
MSI MPG Z790 CARBON WIFI II,429.0,LGA1700,0,192,4
Asus TUF GAMING B550-PLUS,174.98,AM4,0,128,4
Asus ROG STRIX B760-F GAMING WIFI,247.94,LGA1700,0,192,4
ASRock B760M PG Lightning,156.6,LGA1700,2,192,4
ASRock B650E Taichi Lite,259.99,AM5,1,192,4
MSI MEG Z690 ACE,226.0,LGA1700,1,192,4
Asus ROG STRIX X570-E GAMING WIFI II,489.0,AM4,0,128,4
Asus ROG MAXIMUS Z690 EXTREME,1471.13,LGA1700,1,192,4
MSI PRO B760M-P,143.98,LGA1700,2,192,4
ASRock B650E PG-ITX WIFI,289.99,AM5,4,96,2
MSI MEG Z790 ACE MAX,699.0,LGA1700,1,192,4
ASRock H310CM-DVS,70.84,LGA1151,2,32,2
Gigabyte B760I AORUS PRO DDR4,189.99,LGA1700,4,64,2
ASRock Z690 Phantom Gaming-ITX/TB4,194.99,LGA1700,4,96,2
Supermicro X10SLL-F,169.99,LGA1150,2,32,4
Gigabyte B760 DS3H AC DDR4,139.99,LGA1700,0,128,4
ASRock B650 PRO RS,227.33,AM5,0,192,4
MSI MPG B760M EDGE TI WIFI,249.0,LGA1700,2,192,4
Asus ROG CROSSHAIR X670E GENE,684.4,AM5,2,96,2
Asus PRIME B550M-K,119.45,AM4,2,128,4
MSI MPG X570 GAMING EDGE WIFI,349.0,AM4,0,128,4
ASRock B760 Pro RS,149.99,LGA1700,0,192,4
Gigabyte H510M S2H V3,92.02,LGA1200,2,64,2
Asus ROG STRIX B760-A GAMING WIFI D4,214.99,LGA1700,0,128,4
ASRock B760M-ITX/D4 WiFi,148.99,LGA1700,4,64,2
Asus PRIME Z790-P WIFI D4,219.99,LGA1700,0,128,4
ASRock B450 Steel Legend,125.15,AM4,0,64,4
Asus TUF GAMING B760M-PLUS WIFI II,209.99,LGA1700,2,192,4
Gigabyte A520 AORUS ELITE,116.88,AM4,0,128,4
MSI MAG Z790 TOMAHAWK WIFI DDR4,189.0,LGA1700,0,128,4
Gigabyte B450M DS3H V2,108.91,AM4,2,128,4
Gigabyte GA-H270N-WIFI,196.0,LGA1151,4,32,2
ASRock Z790 Pro RS,264.38,LGA1700,0,192,4
Gigabyte Z690 AORUS ELITE AX DDR4,207.0,LGA1700,0,128,4
Asus TUF GAMING B650M-E WIFI,232.53,AM5,2,128,4
ASRock Z690 Phantom Gaming 4/D5,109.99,LGA1700,0,192,4
Asus PRIME B450-PLUS,133.2,AM4,0,64,4
ASRock X670E Pro RS,219.99,AM5,0,192,4
ASRock B560M-HDV,111.55,LGA1200,2,64,2
Gigabyte Z790I AORUS ULTRA,289.99,LGA1700,4,96,2
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),249.0,AM4,0,64,4
Gigabyte H610M S2H,89.99,LGA1700,2,64,2
NZXT N7 B550,342.86,AM4,0,128,4
Asus ROG STRIX B550-F GAMING (WI-FI),369.95,AM4,0,128,4
ASRock H610M-HDV/M.2+ D5,100.6,LGA1700,2,96,2
Asus PRIME A520M-K,87.89,AM4,2,64,2
ASRock Z790 PRO RS WIFI,189.99,LGA1700,0,192,4
Asus TUF GAMING B660-PLUS WIFI D4,215.79,LGA1700,0,128,4
Asus PRIME H610M-K D4,112.31,LGA1700,2,64,2
Asus ROG STRIX Z390-E GAMING,389.99,LGA1151,0,128,4
Gigabyte Z790 AERO G,259.99,LGA1700,0,192,4
ASRock X570 Phantom Gaming 4S,3939.77,AM4,0,128,4
Asus PRIME B450M-A,207.5,AM4,2,64,4
Asus ROG STRIX Z790-A GAMING WIFI,329.0,LGA1700,0,192,4
ASRock H670M-ITX/ax,162.99,LGA1700,4,64,2
Asus PRIME H610I-PLUS D4-CSM,112.99,LGA1700,4,64,2
Asus ROG STRIX B660-A GAMING WIFI D4,219.99,LGA1700,0,128,4
MSI MPG X570 GAMING PLUS,349.99,AM4,0,128,4
Asus TUF GAMING B550M-PLUS,151.0,AM4,2,128,4
ASRock Z790 PG LIGHTNING,209.99,LGA1700,0,192,4
Gigabyte Z790 AORUS MASTER,449.99,LGA1700,1,192,4
MSI B450 TOMAHAWK MAX II,199.99,AM4,0,128,4
ASRock B760M Pro RS,124.99,LGA1700,2,192,4
Gigabyte B760M DS3H AX DDR4,181.76,LGA1700,2,128,4
ASRock Z690M Phantom Gaming 4,99.99,LGA1700,2,128,4
Gigabyte Z790 UD AX,209.22,LGA1700,0,192,4
Gigabyte B650 AORUS PRO AX,365.4,AM5,0,192,4
Asus PRIME H510M-E,133.81,LGA1200,2,64,2
Asus PRIME X570-PRO,459.0,AM4,0,128,4
ASRock B450 Pro4 R2.0,108.77,AM4,0,128,4
Asus PROART B650-CREATOR,260.99,AM5,0,128,4
Asus PRIME Z790M-PLUS D4,169.99,LGA1700,2,128,4
ASRock A620M-HDV/M.2,109.99,AM5,2,96,2
ASRock B550M Phantom Gaming 4,89.99,AM4,2,128,4
MSI PRO Z790-A WIFI DDR4,179.0,LGA1700,0,128,4
Gigabyte B450 AORUS M,153.9,AM4,2,64,4
Gigabyte B650 AERO G,259.99,AM5,0,192,4
Asus TUF GAMING X670E-PLUS,361.09,AM5,0,192,4
Asus PRIME B650M-A AX II,179.99,AM5,2,192,4
MSI MEG Z690 UNIFY,199.0,LGA1700,0,192,4
ASRock X570 Steel Legend WiFi ax,145.99,AM4,0,128,4
Gigabyte Z790 AORUS PRO X WIFI7,349.99,LGA1700,0,192,4
ASRock B760 Pro RS WiFi,223.44,LGA1700,0,192,4
ASRock Z790 Steel Legend WiFi,229.99,LGA1700,0,192,4
ASRock B650M PG RIPTIDE,169.99,AM5,2,192,4
Gigabyte B760 GAMING X DDR4,178.86,LGA1700,0,128,4
MSI PRO Z690-A DDR4,209.0,LGA1700,0,128,4
Asus PRIME B550M-A AC,97.0,AM4,2,128,4
MSI MPG Z390 GAMING EDGE AC,392.0,LGA1151,0,128,4
Asus TUF GAMING B760-PLUS WIFI D4,213.49,LGA1700,0,192,4
MSI MAG B550M MORTAR WIFI,289.8,AM4,2,128,4
ASRock H610M-ITX/ac,150.03,LGA1700,4,64,2
Gigabyte B650E AORUS MASTER,499.08,AM5,0,128,4
ASRock X570 Phantom Gaming 4,159.0,AM4,0,128,4
MSI MPG B550 GAMING EDGE WIFI,299.99,AM4,0,128,4
Gigabyte Z790 EAGLE AX,199.99,LGA1700,0,192,4
Asus PRIME B760-PLUS D4,221.18,LGA1700,0,128,4
Asus ROG Strix X570-I Gaming,519.0,AM4,4,64,2
NZXT N5 Z690,169.99,LGA1700,0,128,4
