Nombre,Precio,Tipo,Eficiencia,Vatios,Modulo
Corsair RM750e (2023),99.99,0,1,750,0
Corsair RM850e (2023),129.0,0,1,850,0
Corsair RM1000e (2023),179.81,0,1,1000,0
Corsair CX650M (2021),64.99,0,0,650,2
Corsair RM650 (2023),89.99,0,1,650,0
Corsair RM850x (2021),124.99,0,1,850,0
Thermaltake Smart,39.95,0,3,500,3
Corsair SF750,169.99,3,2,750,0
Corsair RM850,139.99,0,1,850,0
MSI MAG A650BN,54.0,0,0,650,3
Cooler Master MWE Gold 850 - V2,89.99,0,1,850,0
MSI MAG A550BN,44.0,0,0,550,3
Gigabyte UD750GM,89.99,0,1,750,0
Corsair RM1000x (2021),174.99,0,1,1000,0
MSI MAG A850GL PCIE5,89.0,0,1,850,0
Asus ROG THOR 1600T Gaming,631.99,0,5,1600,0
Thermaltake Smart,44.99,0,3,600,3
Corsair HX1500i (2023),279.99,0,2,1500,0
Corsair SF850L,129.99,3,1,850,0
Apevia Galaxy,54.99,0,1,650,2
Corsair RM750x (2021),119.95,0,1,750,0
EVGA SuperNOVA 650 GT,97.99,0,1,650,0
Silverstone HELA,773.13,0,6,2050,0
MSI MAG A650GL,89.99,0,1,650,0
MSI MAG A750GL PCIE5,93.0,0,1,750,0
Thermaltake Toughpower GF1 (2024),104.98,0,1,750,0
be quiet! Pure Power 12 M,99.9,0,1,850,0
Thermaltake Toughpower GX2,60.99,0,1,600,3
Corsair CX750M (2021),74.98,0,0,750,2
Corsair RM750,109.99,0,1,750,0
Apevia Prestige,51.99,0,1,600,3
be quiet! Pure Power 12 M,94.9,0,1,750,0
Corsair AX1200,799.0,0,1,1200,0
SeaSonic FOCUS PLUS 850 Gold,152.57,0,1,850,0
EVGA 500 BR,59.99,0,0,500,3
Corsair SF1000L,157.88,3,1,1000,0
NZXT C850 (2022),109.99,0,1,850,0
Corsair AX1600i,609.94,0,5,1600,0
Corsair CX (2023),79.98,0,0,750,3
MSI MPG A850G PCIE5,127.0,0,1,850,0
be quiet! Dark Power 13,249.9,0,5,1000,0
Corsair CX (2023),59.99,0,0,550,3
MSI A1000G PCIE5,159.0,0,1,1000,0
Thermaltake Toughpower GF1 (2024),94.99,0,1,850,0
Asus ROG Strix,169.79,0,1,850,0
Cooler Master V850 SFX GOLD,138.9,3,1,850,0
be quiet! Pure Power 12 M,129.9,0,1,1000,0
SeaSonic FOCUS GX,161.87,0,1,750,0
Thermaltake Smart,54.99,0,3,700,3
NZXT C750 (2022),94.99,0,1,750,0
Corsair HX1000i (2023),259.99,0,2,1000,0
Corsair RMe (2023),169.99,0,1,1200,0
EVGA SuperNOVA 850 GT,129.99,0,1,850,0
Corsair CX (2023),59.99,0,0,650,3
be quiet! Straight Power 12,169.9,0,2,1000,0
Lian Li SP,140.07,3,1,750,0
Cooler Master MWE GOLD 750 V2 FULL MODULAR,148.29,0,1,750,0
be quiet! Dark Power Pro 13,399.99,0,5,1600,0
EVGA SuperNOVA 1600 T2,769.0,0,5,1600,0
EVGA SuperNOVA 1000 GT,149.99,0,1,1000,0
be quiet! Straight Power 12,179.9,0,2,1200,0
Lian Li SP750,237.48,3,1,750,0
Gigabyte UD1000GM,119.99,0,1,1000,0
EVGA SuperNOVA 750 GT,109.99,0,1,750,0
Asus ROG THOR P2 Gaming,309.99,0,2,1200,0
Gigabyte UD850GM,104.99,0,1,850,0
SeaSonic PRIME TX-1000,298.87,0,5,1000,0
